,title,manyogana,kundoku,kana
341,[題詞]（羇旅發思）_5844,松浦舟  乱穿江之  水尾早  楫取間無  所念鴨,松浦舟騒く堀江の水脈早み楫取る間なく思ほゆるかも,",まつらぶね,さわくほりえの,みをはやみ,かぢとるまなく,おもほゆるかも"
342,[題詞]（羇旅發思）_5861,射去為  海部之楫音  湯<按>干  妹心  乗来鴨,漁りする海人の楫音ゆくらかに妹は心に乗りにけるかも,",いざりする,あまのかぢおと,ゆくらかに,いもはこころに,のりにけるかも"
343,[題詞]（羇旅發思）_5878,若乃浦尓  袖左倍<沾>而  忘貝  拾杼妹者  不所忘尓,和歌の浦に袖さへ濡れて忘れ貝拾へど妹は忘らえなくに  [忘れかねつも] ,",わかのうらに,そでさへぬれて,わすれがひ,ひりへどいもは,わすらえなくに,[わすれかねつも]"
344,[題詞]（羇旅發思）[或本歌末句云]_5895,[忘可祢都母],[忘れかねつも] ,",[わすれかねつも]"
345,[題詞]（羇旅發思）_5912,草枕  羈西居者  苅薦之  擾妹尓  不戀日者無,草枕旅にし居れば刈り薦の乱れて妹に恋ひぬ日はなし,",くさまくら,たびにしをれば,かりこもの,みだれていもに,こひぬひはなし"
346,[題詞]（羇旅發思）_5929,然海部之  礒尓苅干  名告藻之  名者告手師乎  如何相難寸,志賀の海人の礒に刈り干すなのりその名は告りてしを何か逢ひかたき,",しかのあまの,いそにかりほす,なのりその,なはのりてしを,なにかあひかたき"
347,[題詞]（羇旅發思）_5946,國遠見  念勿和備曽  風之共  雲之行如  言者将通,国遠み思ひなわびそ風の共雲の行くごと言は通はむ,",くにとほみ,おもひなわびそ,かぜのむた,くものゆくごと,ことはかよはむ"
348,[題詞]（羇旅發思）_5963,留西  人乎念尓  蜒野  居白雲  止時無,留まりにし人を思ふに秋津野に居る白雲のやむ時もなし,",とまりにし,ひとをおもふに,あきづのに,ゐるしらくもの,やむときもなし"
349,[題詞]悲別歌_5987,浦毛無  去之君故  朝旦  本名焉戀  相跡者無杼,うらもなく去にし君ゆゑ朝な朝なもとなぞ恋ふる逢ふとはなけど,",うらもなく,いにしきみゆゑ,あさなさな,もとなぞこふる,あふとはなけど"
350,[題詞]（悲別歌）_6004,白細之  君之下紐  吾<左>倍尓  今日結而名  将相日之為,白栲の君が下紐我れさへに今日結びてな逢はむ日のため,",しろたへの,きみがしたびも,われさへに,けふむすびてな,あはむひのため"
351,[題詞]（悲別歌）_6021,白妙之  袖之別者  雖<惜>  思乱而  赦鶴鴨,白栲の袖の別れは惜しけども思ひ乱れて許しつるかも,",しろたへの,そでのわかれは,をしけども,おもひみだれて,ゆるしつるかも"
352,[題詞]（悲別歌）_6038,京師邊  君者去之乎  孰解可  言紐緒乃  結手懈毛,都辺に君は去にしを誰が解けか我が紐の緒の結ふ手たゆきも,",みやこへに,きみはいにしを,たがとけか,わがひものをの,ゆふてたゆきも"
353,[題詞]（悲別歌）_6055,草枕  <客>去君乎  人目多  袖不振為而  安萬田悔毛,草枕旅行く君を人目多み袖振らずしてあまた悔しも,",くさまくら,たびゆくきみを,ひとめおほみ,そでふらずして,あまたくやしも"
354,[題詞]（悲別歌）_6072,白銅鏡  手二取持而  見常不足  君尓所贈而  生跡文無,まそ鏡手に取り持ちて見れど飽かぬ君に後れて生けりともなし,",まそかがみ,てにとりもちて,みれどあかぬ,きみにおくれて,いけりともなし"
355,[題詞]（悲別歌）_6089,陰夜之  田時毛不知  山越而  徃座君者  何時将待,曇り夜のたどきも知らぬ山越えています君をばいつとか待たむ,",くもりよの,たどきもしらぬ,やまこえて,いますきみをば,いつとかまたむ"
356,[題詞]（悲別歌）_6106,<立>名付  青垣山之  隔者  數君乎  言不<問>可聞,たたなづく青垣山の隔なりなばしばしば君を言問はじかも,",たたなづく,あをかきやまの,へなりなば,しばしばきみを,こととはじかも"
357,[題詞]（悲別歌）_6123,朝霞  蒙山乎  越而去者  吾波将戀奈  至于相日,朝霞たなびく山を越えて去なば我れは恋ひむな逢はむ日までに,",あさがすみ,たなびくやまを,こえていなば,あれはこひむな,あはむひまでに"
358,[題詞]（悲別歌）_6140,足桧乃  山者百重  雖隠  妹者不忘  直相左右二  [一云  雖隠  君乎思苦  止時毛無] ,あしひきの山は百重に隠すとも妹は忘れじ直に逢ふまでに  [一云  隠せども君を思はくやむ時もなし] ,",あしひきの,やまはももへに,かくすとも,いもはわすれじ,ただにあふまでに,[かくせども,きみをおもはく,やむときもなし]"
359,[題詞]（悲別歌）_6157,雲居<有>  海山超而  伊徃名者  吾者将戀名  後者相宿友,雲居なる海山越えてい行きなば我れは恋ひむな後は逢ひぬとも,",くもゐなる,うみやまこえて,いゆきなば,あれはこひむな,のちはあひぬとも"
360,[題詞]（悲別歌）_6174,不欲恵八<師>  不戀登為杼  木綿間山  越去之公之  所念良國,よしゑやし恋ひじとすれど木綿間山越えにし君が思ほゆらくに,",よしゑやし,こひじとすれど,ゆふまやま,こえにしきみが,おもほゆらくに"
361,[題詞]（悲別歌）_6191,草蔭之  荒藺之埼乃  笠嶋乎  見乍可君之  山道超良無  [一云  三坂越良牟] ,草蔭の荒藺の崎の笠島を見つつか君が山道越ゆらむ  [一云  み坂越ゆらむ] ,",くさかげの,あらゐのさきの,かさしまを,みつつかきみが,やまぢこゆらむ,[みさかこゆらむ]"
362,[題詞]（悲別歌）_6208,玉勝間  嶋熊山之  夕晩  獨可君之  山道将越  [一云  暮霧尓  長戀為乍  寐不勝可母] ,玉かつま島熊山の夕暮れにひとりか君が山道越ゆらむ  [一云  夕霧に長恋しつつ寐ねかてぬかも] ,",たまかつま,しまくまやまの,ゆふぐれに,ひとりかきみが,やまぢこゆらむ,[ゆふぎりに,ながこひしつつ,いねかてぬかも]"
363,[題詞]（悲別歌）_6225,氣緒尓  吾念君者  鶏鳴  東方重坂乎  今日可越覧,息の緒に我が思ふ君は鶏が鳴く東の坂を今日か越ゆらむ,",いきのをに,あがおもふきみは,とりがなく,あづまのさかを,けふかこゆらむ"
364,[題詞]（悲別歌）_6242,磐城山  直越来益  礒埼  許奴美乃濱尓  吾立将待,磐城山直越え来ませ礒崎の許奴美の浜に我れ立ち待たむ,",いはきやま,ただこえきませ,いそさきの,こぬみのはまに,われたちまたむ"
365,[題詞]（悲別歌）_6259,春日野之  淺茅之原尓  後居而  時其友無  吾戀良苦者,春日野の浅茅が原に遅れ居て時ぞともなし我が恋ふらくは,",かすがのの,あさぢがはらに,おくれゐて,ときぞともなし,あがこふらくは"
366,[題詞]（悲別歌）_6276,住吉乃  崖尓向有  淡路嶋  Ａ怜登君乎  不言日者无,住吉の岸に向へる淡路島あはれと君を言はぬ日はなし,",すみのえの,きしにむかへる,あはぢしま,あはれときみを,いはぬひはなし"
367,[題詞]（悲別歌）_6293,明日従者  将行乃河之  出去者  留吾者  戀乍也将有,明日よりはいなむの川の出でて去なば留まれる我れは恋ひつつやあらむ,",あすよりは,いなむのかはの,いでていなば,とまれるあれは,こひつつやあらむ"
368,[題詞]（悲別歌）_6310,海之底  奥者恐  礒廻従  <水>手運徃為  月者雖經過,海の底沖は畏し礒廻より漕ぎ廻みいませ月は経ぬとも,",わたのそこ,おきはかしこし,いそみより,こぎたみいませ,つきはへぬとも"
369,[題詞]（悲別歌）_6327,飼飯乃浦尓  依流白浪  敷布二  妹之容儀者  所念香毛,飼飯の浦に寄する白波しくしくに妹が姿は思ほゆるかも,",けひのうらに,よするしらなみ,しくしくに,いもがすがたは,おもほゆるかも"
370,[題詞]（悲別歌）_6344,時風  吹飯乃濱尓  出居乍  贖命者  妹之為社,時つ風吹飯の浜に出で居つつ贖ふ命は妹がためこそ,",ときつかぜ,ふけひのはまに,いでゐつつ,あかふいのちは,いもがためこそ"
371,[題詞]（悲別歌）_6361,柔田津尓  舟乗<将>為跡  聞之苗  如何毛君之  所見不来将<有>,熟田津に舟乗りせむと聞きしなへ何ぞも君が見え来ずあるらむ,",にきたつに,ふなのりせむと,ききしなへ,なにぞもきみが,みえこずあるらむ"
372,[題詞]（悲別歌）_6378,三沙呉居  渚尓居舟之  榜出去者  裏戀監  後者會宿友,みさご居る洲に居る舟の漕ぎ出なばうら恋しけむ後は逢ひぬとも,",みさごゐる,すにゐるふねの,こぎでなば,うらごほしけむ,のちはあひぬとも"
373,[題詞]（悲別歌）_6395,玉葛  無<恙>行核  山菅乃  思乱而  戀乍将待,玉葛幸くいまさね山菅の思ひ乱れて恋ひつつ待たむ,",たまかづら,さきくいまさね,やますげの,おもひみだれて,こひつつまたむ"
374,[題詞]（悲別歌）_6412,後居而  戀乍不有者  田籠之浦乃  海部有申尾  珠藻苅々,後れ居て恋ひつつあらずは田子の浦の海人ならましを玉藻刈る刈る,",おくれゐて,こひつつあらずは,たごのうらの,あまならましを,たまもかるかる"
375,[題詞]（悲別歌）_6429,筑紫道之  荒礒乃玉藻  苅鴨  君久  待不来,筑紫道の荒礒の玉藻刈るとかも君が久しく待てど来まさぬ,",つくしぢの,ありそのたまも,かるとかも,きみがひさしく,まてどきまさぬ"
376,[題詞]（悲別歌）_6446,荒玉乃  年緒永  照月  不Ｑ君八  明日別南,あらたまの年の緒長く照る月の飽かざる君や明日別れなむ,",あらたまの,としのをながく,てるつきの,あかざるきみや,あすわかれなむ"
377,[題詞]（悲別歌）_6463,久将在  君念尓  久堅乃  清月夜毛  闇夜耳見,久にあらむ君を思ふにひさかたの清き月夜も闇の夜に見ゆ,",ひさにあらむ,きみをおもふに,ひさかたの,きよきつくよも,やみのよにみゆ"
378,[題詞]（悲別歌）_6480,春日在  三笠乃山尓  居雲乎  出見毎  君乎之曽念,春日なる御笠の山に居る雲を出で見るごとに君をしぞ思ふ,",かすがなる,みかさのやまに,ゐるくもを,いでみるごとに,きみをしぞおもふ"
379,[題詞]（悲別歌）_6497,足桧木乃  片山雉  立徃牟  君尓後而  打四鶏目八方,あしひきの片山雉立ち行かむ君に後れてうつしけめやも,",あしひきの,かたやまきぎし,たちゆかむ,きみにおくれて,うつしけめやも"
380,[題詞]問答<歌>_6521,玉緒乃  <徙>心哉  八十梶懸  水手出牟船尓  後而将居,玉の緒の現し心や八十楫懸け漕ぎ出む船に後れて居らむ,",たまのをの,うつしこころや,やそかかけ,こぎでむふねに,おくれてをらむ"
381,[題詞]（問答歌）_6538,八十梶懸  嶋隠去者  吾妹兒之  留登将振  袖不所見可聞,八十楫懸け島隠りなば我妹子が留まれと振らむ袖見えじかも,",やそかかけ,しまがくりなば,わぎもこが,とまれとふらむ,そでみえじかも"
382,[題詞]（問答歌）_6555,十月  鍾礼乃雨丹  <沾>乍哉  君之行疑  宿可借疑,十月しぐれの雨に濡れつつか君が行くらむ宿か借るらむ,",かむなづき,しぐれのあめに,ぬれつつか,きみがゆくらむ,やどかかるらむ"
383,[題詞]（問答歌）_6572,十月  <雨>間毛不置  零尓西者  誰里<之>  宿可借益,十月雨間も置かず降りにせばいづれの里の宿か借らまし,",かむなづき,あままもおかず,ふりにせば,いづれのさとの,やどかからまし"
384,[題詞]（問答歌）_6589,白妙乃  袖之別乎  難見為而  荒津之濱  屋取為鴨,白栲の袖の別れを難みして荒津の浜に宿りするかも,",しろたへの,そでのわかれを,かたみして,あらつのはまに,やどりするかも"
385,[題詞]（問答歌）_6606,草枕  羈行君乎  荒津左右  送来  <飽>不足社,草枕旅行く君を荒津まで送りぞ来ぬる飽き足らねこそ,",くさまくら,たびゆくきみを,あらつまで,おくりぞきぬる,あきだらねこそ"
386,[題詞]（問答歌）_6623,荒津海  吾幣奉  将齊  早<還>座  面變不為,荒津の海我れ幣奉り斎ひてむ早帰りませ面変りせず,",あらつのうみ,われぬさまつり,いはひてむ,はやかへりませ,おもがはりせず"
387,[題詞]（問答歌）_6640,<旦>々  筑紫乃方乎  出見乍  哭耳吾泣  痛毛為便無三,朝な朝な筑紫の方を出で見つつ音のみぞ我が泣くいたもすべなみ,",あさなさな,つくしのかたを,いでみつつ,ねのみぞあがなく,いたもすべなみ"
388,[題詞]（問答歌）_6657,豊國乃  聞之長濱  去晩  日之昏去者  妹食序念,豊国の企救の長浜行き暮らし日の暮れゆけば妹をしぞ思ふ,",とよくにの,きくのながはま,ゆきくらし,ひのくれゆけば,いもをしぞおもふ"
389,[題詞]（問答歌）_6674,豊國能  聞乃高濱  高々二  君待夜等者  左夜深来,豊国の企救の高浜高々に君待つ夜らはさ夜更けにけり,",とよくにの,きくのたかはま,たかたかに,きみまつよらは,さよふけにけり"
0,[題詞]雜歌_12,冬<木>成  春去来者  朝尓波  白露置  夕尓波  霞多奈妣久  汗瑞能振  樹奴礼我之多尓  鴬鳴母 ,冬こもり  春さり来れば  朝には  白露置き  夕には  霞たなびく  汗瑞能振  木末が下に  鴬鳴くも ,",ふゆこもり,はるさりくれば,あしたには,しらつゆおき,ゆふへには,かすみたなびく,,****,こぬれがしたに,うぐひすなくも"
1,[題詞]_29,三諸者  人之守山  本邊者  馬酔木花開  末邊方  椿花開  浦妙  山曽  泣兒守山 ,みもろは  人の守る山  本辺は  馬酔木花咲き  末辺は  椿花咲く  うらぐはし  山ぞ  泣く子守る山 ,",みもろは,ひとのもるやま,もとへは,あしびはなさき,すゑへは,つばきはなさく,うらぐはし,やまぞ,なくこもるやま"
2,[題詞]_46,霹靂之  日香天之  九月乃  <鍾>礼乃落者  鴈音文  未来鳴  甘南備乃  清三田屋乃  垣津田乃  池之堤<之>  百不足 <五十>槻枝丹  水枝指  秋赤葉  真割持 小鈴<文>由良尓  手弱女尓 吾者有友  引攀而  峯文十遠仁  に手折  吾者持而徃 公之頭刺荷 ,かむとけの  日香空の  九月の  しぐれの降れば  雁がねも  いまだ来鳴かぬ  神なびの  清き御田屋の  垣つ田の  池の堤の  百足らず 斎槻の枝に  瑞枝さす  秋の黄葉  まき持てる  小鈴もゆらに  手弱女に 我れはあれども  引き攀ぢて  枝もとををに  ふさ手折り  我は持ちて行く 君がかざしに ,",かむとけの,**そらの,ながつきの,しぐれのふれば,かりがねも,いまだきなかぬ,かむなびの,きよきみたやの,かきつたの,いけのつつみの,ももたらず,いつきのえだに,みづえさす,あきのもみちば,まきもてる,をすずもゆらに,たわやめに,われはあれども,ひきよぢて,えだもとををに,ふさたをり,わはもちてゆく,きみがかざしに"
3,[題詞]反歌_63,獨耳  見者戀染  神名火乃  山黄葉  手折来君,ひとりのみ見れば恋しみ神なびの山の黄葉手折り来り君,",ひとりのみ,みればこほしみ,かむなびの,やまのもみちば,たをりけりきみ"
4,[題詞]_80,天雲之  影<塞>所見  隠来<矣>  長谷之河者  浦無蚊  船之依不来  礒無蚊  海部之釣不為  吉咲八師  浦者無友  吉畫矢寺 礒者無友  奥津浪  諍榜入来  白水郎之釣船 ,天雲の  影さへ見ゆる  こもりくの  泊瀬の川は  浦なみか  舟の寄り来ぬ  礒なみか  海人の釣せぬ  よしゑやし  浦はなくとも  よしゑやし 礒はなくとも  沖つ波  競ひ漕入り来  海人の釣舟 ,",あまくもの,かげさへみゆる,こもりくの,はつせのかはは,うらなみか,ふねのよりこぬ,いそなみか,あまのつりせぬ,よしゑやし,うらはなくとも,よしゑやし,いそはなくとも,おきつなみ,きほひこぎりこ,あまのつりぶね"
5,[題詞]反歌_97,沙邪礼浪  浮而流  長谷河  可依礒之  無蚊不怜也,さざれ波浮きて流るる泊瀬川寄るべき礒のなきが寂しさ,",さざれなみ,うきてながるる,はつせがは,よるべきいその,なきがさぶしさ"
6,[題詞]_114,葦原笶  水穂之國丹  手向為跡  天降座兼  五百万  千万神之  神代従  云續来在  甘南備乃  三諸山者  春去者  春霞立 秋徃者  紅丹穂經  <甘>甞備乃  三諸乃神之  帶為  明日香之河之 水尾速  生多米難  石枕  蘿生左右二  新夜乃  好去通牟 事計  夢尓令見社  劔刀  齊祭  神二師座者 ,葦原の  瑞穂の国に  手向けすと  天降りましけむ  五百万  千万神の  神代より  言ひ継ぎ来る  神なびの  みもろの山は  春されば  春霞立つ 秋行けば  紅にほふ  神なびの  みもろの神の  帯ばせる  明日香の川の 水脈早み  生しためかたき  石枕  苔生すまでに  新夜の  幸く通はむ 事計り  夢に見せこそ  剣太刀  斎ひ祭れる  神にしませば ,",あしはらの,みづほのくにに,たむけすと,あもりましけむ,いほよろづ,ちよろづかみの,かむよより,いひつぎきたる,かむなびの,みもろのやまは,はるされば,はるかすみたつ,あきゆけば,くれなゐにほふ,かむなびの,みもろのかみの,おばせる,あすかのかはの,みをはやみ,むしためかたき,いしまくら,こけむすまでに,あらたよの,さきくかよはむ,ことはかり,いめにみせこそ,つるぎたち,いはひまつれる,かみにしませば"
7,[題詞]反歌_131,神名備能  三諸之山丹  隠蔵杉  思将過哉  蘿生左右,神なびの三諸の山に斎ふ杉思ひ過ぎめや苔生すまでに,",かむなびの,みもろのやまに,いはふすぎ,おもひすぎめや,こけむすまでに"
8,[題詞]（反歌）_148,五十串立  神酒座奉  神主部之  雲聚<玉>蔭  見者乏文,斎串立てみわ据ゑ奉る祝部がうずの玉かげ見ればともしも,",いぐしたて,みわすゑまつる,はふりへが,うずのたまかげ,みればともしも"
9,[題詞]_165,帛Ｓ  楢従出而  水蓼  穂積至  鳥網張  坂手乎過  石走  甘南備山丹  朝宮  仕奉而  吉野部登  入座見者 古所念 ,みてぐらを  奈良より出でて  水蓼  穂積に至り  鳥網張る  坂手を過ぎ  石走る  神なび山に  朝宮に  仕へ奉りて  吉野へと  入ります見れば いにしへ思ほゆ ,",みてぐらを,ならよりいでて,みづたで,ほづみにいたり,となみはる,さかてをすぎ,いはばしる,かむなびやまに,あさみやに,つかへまつりて,よしのへと,いりますみれば,いにしへおもほゆ"
10,[題詞]反歌_182,月日  攝友  久經流  三諸之山  礪津宮地,月は日は変らひぬとも久に経る三諸の山の離宮ところ,",つきひは,かはらひぬとも,ひさにふる,みもろのやまの,とつみやところ"
11,[題詞]（反歌）右二首  但或本歌曰_199,故王都跡津宮地,古き都の離宮ところ ,"ふるきみやこの,とつみやところ"
12,[題詞]_216,斧取而  丹生桧山  木折来而  筏尓作  二梶貫  礒榜廻乍  嶋傳  雖見不飽  三吉野乃  瀧動々  落白浪 ,斧取りて  丹生の桧山の  木伐り来て  筏に作り  真楫貫き  礒漕ぎ廻つつ  島伝ひ  見れども飽かず  み吉野の  瀧もとどろに  落つる白波 ,",をのとりて,にふのひやまの,きこりきて,いかだにつくり,まかぢぬき,いそこぎみつつ,しまづたひ,みれどもあかず,みよしのの,たきもとどろに,おつるしらなみ"
13,[題詞]反歌_233,三芳野  瀧動々  落白浪  留西  妹見<西>巻  欲白浪,み吉野の瀧もとどろに落つる白波留まりにし妹に見せまく欲しき白波,",みよしのの,たきもとどろに,おつるしらなみ,とまりにし,いもにみせまく,ほしきしらなみ"
14,[題詞]_250,八隅知之  和期大皇  高照  日之皇子之  聞食  御食都國  神風之  伊勢乃國者  國見者之毛  山見者  高貴之  河見者 左夜氣久清之  水門成  海毛廣之  見渡  嶋名高之 己許乎志毛  間細美香母  <挂>巻毛  文尓恐  山邊乃 五十師乃原  尓内日刺  大宮都可倍  朝日奈須  目細毛  暮日奈須 浦細毛  春山之  四名比盛而  秋山之  色名付思吉  百礒城之 大宮人者  天地  与日月共  万代尓母我 ,やすみしし  我ご大君  高照らす  日の御子の  きこしをす  御食つ国  神風の  伊勢の国は  国見ればしも  山見れば  高く貴し  川見れば さやけく清し  水門なす  海もゆたけし  見わたす  島も名高し ここをしも  まぐはしみかも  かけまくも  あやに畏き  山辺の 五十師の原に  うちひさす  大宮仕へ  朝日なす  まぐはしも  夕日なす うらぐはしも  春山の  しなひ栄えて  秋山の  色なつかしき  ももしきの 大宮人は  天地  日月とともに  万代にもが ,",やすみしし,わごおほきみ,たかてらす,ひのみこの,きこしをす,みけつくに,かむかぜの,いせのくには,くにみればしも,やまみれば,たかくたふとし,かはみれば,さやけくきよし,みなとなす,うみもゆたけし,みわたす,しまもなたかし,ここをしも,まぐはしみかも,かけまくも,あやにかしこき,やまのへの,いしのはらに,うちひさす,おほみやつかへ,あさひなす,まぐはしも,ゆふひなす,うらぐはしも,はるやまの,しなひさかえて,あきやまの,いろなつかしき,ももしきの,おほみやひとは,あめつち,ひつきとともに,よろづよにもが"
15,[題詞]反歌_267,山邊乃  五十師乃御井者  自然  成錦乎  張流山可母,山辺の五十師の御井はおのづから成れる錦を張れる山かも,",やまのへの,いしのみゐは,おのづから,なれるにしきを,はれるやまかも"
16,[題詞]_284,空見津  倭國  青丹吉  常山越而  山代之  管木之原  血速舊  于遅乃渡  瀧屋之  阿後尼之原尾  千歳尓 闕事無  万歳尓  有通将得  山科之  石田之社之  須馬神尓 奴左取向而  吾者越徃  相坂山遠 ,そらみつ  大和の国  あをによし  奈良山越えて  山背の  管木の原  ちはやぶる  宇治の渡り  瀧つ屋の  阿後尼の原を  千年に 欠くることなく  万代に  あり通はむと  山科の  石田の杜の  すめ神に 幣取り向けて  我れは越え行く  逢坂山を ,",そらみつ,やまとのくに,あをによし,ならやまこえて,やましろの,つつきのはら,ちはやぶる,うぢのわたり,たぎつやの,あごねのはらを,ちとせに,かくることなく,よろづよに,ありがよはむと,やましなの,いはたのもりの,すめかみに,ぬさとりむけて,われはこえゆく,あふさかやまを"
17,[題詞]或本歌曰_301,緑丹吉  平山過而  物部之  氏川渡  未通女等尓  相坂山丹  手向草  絲取置而  我妹子尓  相海之海之  奥浪  来因濱邊乎 久礼々々登  獨<曽>我来  妹之目乎欲 ,あをによし  奈良山過ぎて  もののふの  宇治川渡り  娘子らに  逢坂山に  手向け草  幣取り置きて  我妹子に  近江の海の  沖つ波  来寄る浜辺を くれくれと  ひとりぞ我が来る  妹が目を欲り ,",あをによし,ならやますぎて,もののふの,うぢかはわたり,をとめらに,あふさかやまに,たむけくさ,ぬさとりおきて,わぎもこに,あふみのうみの,おきつなみ,きよるはまへを,くれくれと,ひとりぞわがくる,いもがめをほり"
18,[題詞]反歌_318,相坂乎  打出而見者  淡海之海  白木綿花尓  浪立渡,逢坂をうち出でて見れば近江の海白木綿花に波立ちわたる,",あふさかを,うちいでてみれば,あふみのうみ,しらゆふばなに,なみたちわたる"
19,[題詞]_335,近江之海  泊八十有  八十嶋之  嶋之埼邪伎  安利立有  花橘乎  末枝尓  毛知引懸  仲枝尓  伊加流我懸  下枝尓  <比>米乎懸 己之母乎  取久乎不知  己之父乎  取久乎思良尓  伊蘇婆比座与 伊可流我等<比>米登 ,近江の海  泊り八十あり  八十島の  島の崎々  あり立てる  花橘を  ほつ枝に  もち引き懸け  中つ枝に  斑鳩懸け  下枝に  比米を懸け 汝が母を  取らくを知らに  汝が父を  取らくを知らに  いそばひ居るよ 斑鳩と比米と ,",あふみのうみ,とまりやそあり,やそしまの,しまのさきざき,ありたてる,はなたちばなを,ほつえに,もちひきかけ,なかつえに,いかるがかけ,しづえに,ひめをかけ,ながははを,とらくをしらに,ながちちを,とらくをしらに,いそばひをるよ,いかるがとひめと"
20,[題詞]_352,王  命恐  雖見不飽  楢山越而  真木積  泉河乃  速瀬  <竿>刺渡  千速振  氏渡乃  多企都瀬乎 見乍渡而  近江道乃  相坂山丹  手向為  吾越徃者  樂浪乃 志我能韓埼  幸有者  又反見  道前  八十阿毎 嗟乍  吾過徃者  弥遠丹  里離来奴  弥高二 山<文>越来奴  劔刀  鞘従拔出而  伊香胡山  如何吾将為 徃邊不知而 ,大君の  命畏み  見れど飽かぬ  奈良山越えて  真木積む  泉の川の  早き瀬を  棹さし渡り  ちはやぶる  宇治の渡りの  たきつ瀬を 見つつ渡りて  近江道の  逢坂山に  手向けして  我が越え行けば  楽浪の 志賀の唐崎  幸くあらば  またかへり見む  道の隈  八十隈ごとに 嘆きつつ  我が過ぎ行けば  いや遠に  里離り来ぬ  いや高に 山も越え来ぬ  剣太刀  鞘ゆ抜き出でて  伊香胡山  いかにか我がせむ ゆくへ知らずて ,",おほきみの,みことかしこみ,みれどあかぬ,ならやまこえて,まきつむ,いづみのかはの,はやきせを,さをさしわたり,ちはやぶる,うぢのわたりの,たきつせを,みつつわたりて,あふみぢの,あふさかやまに,たむけして,わがこえゆけば,ささなみの,しがのからさき,さきくあらば,またかへりみむ,みちのくま,やそくまごとに,なげきつつ,わがすぎゆけば,いやとほに,さとさかりきぬ,いやたかに,やまもこえきぬ,つるぎたち,さやゆぬきいでて,いかごやま,いかにかわがせむ,ゆくへしらずて"
21,[題詞]反歌_369,天地乎  <歎>乞祷  幸有者  又<反>見  思我能韓埼,天地を嘆き祈ひ祷み幸くあらばまたかへり見む志賀の唐崎,",あめつちを,なげきこひのみ,さきくあらば,またかへりみむ,しがのからさき"
22,[題詞]_386,百岐年  三野之國之  高北之  八十一隣之宮尓  日向尓  行靡闕矣  有登聞而  吾通<道>之  奥十山  <三>野之山  <靡>得  人雖跡 如此依等  人雖衝  無意山之  奥礒山  三野之山 ,ももきね  美濃の国の  高北の  くくりの宮に  日向ひに  行靡闕矣  ありと聞きて  我が行く道の  奥十山  美濃の山  靡けと  人は踏めども かく寄れと  人は突けども  心なき山の  奥十山  美濃の山 ,",ももきね,みののくにの,たかきたの,くくりのみやに,ひむかひに,*******,ありとききて,わがゆくみちの,おきそやま,みののやま,なびけと,ひとはふめども,かくよれと,ひとはつけども,こころなきやまの,おきそやま,みののやま"
23,[題詞]_403,處女等之  <麻>笥垂有  續麻成  長門之浦丹  朝奈祇尓  満来塩之  夕奈祇尓  依来波乃  <彼>塩乃  伊夜益舛二 彼浪乃  伊夜敷布二  吾妹子尓  戀乍来者  阿胡乃海之 荒礒之於丹  濱菜採  海部處女等  纓有  領巾文光蟹 手二巻流  玉毛湯良羅尓  白栲乃  袖振所見津  相思羅霜 ,娘子らが  麻笥に垂れたる  続麻なす  長門の浦に  朝なぎに  満ち来る潮の  夕なぎに  寄せ来る波の  その潮の  いやますますに その波の  いやしくしくに  我妹子に  恋ひつつ来れば  阿胡の海の 荒礒の上に  浜菜摘む  海人娘子らが  うながせる  領布も照るがに 手に巻ける  玉もゆららに  白栲の  袖振る見えつ  相思ふらしも ,",をとめらが,をけにたれたる,うみをなす,ながとのうらに,あさなぎに,みちくるしほの,ゆふなぎに,よせくるなみの,そのしほの,いやますますに,そのなみの,いやしくしくに,わぎもこに,こひつつくれば,あごのうみの,ありそのうへに,はまなつむ,あまをとめらが,うなげる,ひれもてるがに,てにまける,たまもゆららに,しろたへの,そでふるみえつ,あひおもふらしも"
24,[題詞]反歌_420,阿胡乃海之  荒礒之上之  少浪  吾戀者  息時毛無,阿胡の海の荒礒の上のさざれ波我が恋ふらくはやむ時もなし,",あごのうみの,ありそのうへの,さざれなみ,あがこふらくは,やむときもなし"
25,[題詞]_437,天橋<文>  長雲鴨  高山<文>  高雲鴨  月夜見乃  持有越水  伊取来而  公奉而  越得之<旱>物 ,天橋も  長くもがも  高山も  高くもがも  月夜見の  持てるをち水  い取り来て  君に奉りて  をち得てしかも ,",あまはしも,ながくもがも,たかやまも,たかくもがも,つくよみの,もてるをちみづ,いとりきて,きみにまつりて,をちえてしかも"
26,[題詞]反歌_454,天有哉  月日如  吾思有  君之日異  老落惜文,天なるや月日のごとく我が思へる君が日に異に老ゆらく惜しも,",あめなるや,つきひのごとく,あがおもへる,きみがひにけに,おゆらくをしも"
27,[題詞]_471,沼名河之  底奈流玉  求而  得之玉可毛  拾而  得之玉可毛  安多良思吉  君之  老落惜毛 ,沼名川の  底なる玉  求めて  得し玉かも  拾ひて  得し玉かも  あたらしき  君が  老ゆらく惜しも ,",ぬながはの,そこなるたま,もとめて,えしたまかも,ひりひて,えしたまかも,あたらしき,きみが,おゆらくをしも"
